Name,Amount,Payment Date,Payor,Payor City,Payor State,Payee,Payee City,Payee State,Description,Notice Received,LGC Purpose
"Bonta, Rob",5000,2016-03-14,"Charles Panko Builders, Ltd",Oakland,CA,Cypress Mandela Training Center,Oakland,CA,Pre-apprentice training,3/14/2016 12:00:00 AM,Charitable
"Bonta, Rob",5000,2016-05-20,California Fire Foundation,Sacramento,CA,API Legislative Caucus Foundation,Sacramento,CA,Asian and Pacific Islander American Heritage Month Gala 2016,5/20/2016 12:00:00 AM,Charitable
"Bonta, Rob",1000,2016-08-15,AT&T,San Ramon,CA,Community Giving Foundation (aka www.turkeydrive.com),Oakland,CA,"Improving lives in the community and state by advancing economic growth, educational opportunities, new technologies, and other essential community services",8/15/2016 12:00:00 AM,Charitable
"Bonta, Rob",1000,2016-08-15,AT&T,San Ramon,CA,Interfaith Homeless Network,San Leandro,CA,"Improving lives in the community and state by advancing economic growth, educational opportunities, new technologies, and other essential community services",8/15/2016 12:00:00 AM,Charitable
"Bonta, Rob",1000,2016-08-15,AT&T,San Ramon,CA,Alameda Community Fund,Alameda,CA,"Improving lives in the community and state by advancing economic growth, educational opportunities, new technologies, and other essential community services",8/15/2016 12:00:00 AM,Charitable
"Bonta, Rob",1000,2016-08-15,AT&T,San Ramon,CA,Man of Valor,Oakland,CA,"Improving lives in the community and state by advancing economic growth, educational opportunities, new technologies, and other essential community services",8/15/2016 12:00:00 AM,Charitable
"Bonta, Rob",1000,2016-08-15,AT&T,San Ramon,CA,Alameda Homeless Network (c/o Building Futures),San Leandro,CA,"Improving lives in the community and state by advancing economic growth, educational opportunities, new technologies, and other essential community services",8/15/2016 12:00:00 AM,Charitable
"Brough, William P.",5000,2016-03-11,Saddleback Memorial Medical Center - MemorialCare Health Systems,Laguna Hills,CA,Alzheimer's Orange County,Irvine,CA,"Informing South Orange County Senior Citizens of Governmental Services, Programs and assistance",3/11/2016 12:00:00 AM,Governmental
"Brough, William P.",15000,2016-04-22,Members Voice of the State Building and Construction Trades Council of California,Sacramento,CA,California Legislative Irish Caucus,Sacramento,CA,"Donation to foster political, economic and governmental relations between Ireland and the State of California",4/22/2016 12:00:00 AM,Governmental
"Brough, William P.",10000,2016-03-08,Allergan,Irvine,CA,California Legislative Irish Caucus,Sacramento,CA,"Donation to foster political, economic and governmental relations between Ireland and the State of California",3/8/2016 12:00:00 AM,Governmental
"Burke, Autumn",5000,2016-10-06,Young's Market,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/6/2016 12:00:00 AM,Charitable
"Burke, Autumn",10000,2016-06-04,Viejas Tribal Government,Alpine,CA,101 Enterprises Foundation,Los Angeles,CA,This donation will be used for charitable purposes relating to the Assembly 62nd District Back to School Wellness and Health Fair,6/4/2016 12:00:00 AM,Charitable
"Burke, Autumn",10000,2016-09-30,Verizon,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,9/30/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-10-28,Toyota,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/28/2016 12:00:00 AM,Charitable
"Burke, Autumn",15000,2016-03-31,Time Warner Cable  ,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,3/31/2016 12:00:00 AM,Charitable
"Burke, Autumn",12800,2016-11-05,Shell Oil Company,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,11/5/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-11-14,San Diego Gas & Electric,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,11/14/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-09-27,Professional Engineers in California Government,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,9/27/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-07-25,Phillips 66,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,7/25/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-10-25,Pharmaceutical Research & Manufacturers of America,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/25/2016 12:00:00 AM,Charitable
"Burke, Autumn",12800,2016-10-28,Pfizer,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/28/2016 12:00:00 AM,Charitable
"Burke, Autumn",15000,2016-10-18,Personal Insurance Federation of California,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/18/2016 12:00:00 AM,Charitable
"Burke, Autumn",5000,2016-09-29,Painters & Allied Trades,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,9/29/2016 12:00:00 AM,Charitable
"Burke, Autumn",50000,2016-08-03,Pacific Gas and Electric Company,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,8/3/2016 12:00:00 AM,Charitable
"Burke, Autumn",10000,2016-10-18,Nationwide Mutual Insurance,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/18/2016 12:00:00 AM,Charitable
"Burke, Autumn",15000,2016-08-09,Microsoft,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,8/9/2016 12:00:00 AM,Charitable
"Burke, Autumn",5000,2016-08-31,Independent Insurance Agents of Brokers of California,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,8/31/2016 12:00:00 AM,Charitable
"Burke, Autumn",15000,2016-07-28,IGT Global Solution,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,7/28/2016 12:00:00 AM,Charitable
"Burke, Autumn",8000,2016-09-02,Hewlett Packard Enterprises,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,9/2/2016 12:00:00 AM,Charitable
"Burke, Autumn",7500,2016-08-09,First American Title Insurance Company,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,8/9/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-03-30,Farmer's Insurance,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,3/30/2016 12:00:00 AM,Charitable
"Burke, Autumn",50000,2016-05-17,Eli Lilly  ,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2015 Leadership Symposium & Policy Institute Scholarship Fund,5/17/2016 12:00:00 AM,Charitable
"Burke, Autumn",10000,2016-10-18,Community Loans of America,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/18/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-08-04,Comcast,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,8/4/2016 12:00:00 AM,Charitable
"Burke, Autumn",20000,2016-03-30,Chevron,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,3/30/2016 12:00:00 AM,Charitable
"Burke, Autumn",30000,2016-03-30,Chevron,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,3/30/2016 12:00:00 AM,Charitable
"Burke, Autumn",50000,2016-09-23,California Teachers Association,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,9/23/2016 12:00:00 AM,Charitable
"Burke, Autumn",10000,2016-10-03,California State Council of Laborers,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/3/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-12-06,California Medical Association,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,12/6/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-10-19,California Faculty Association,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/19/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-09-22,California Dental Association,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,9/22/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-07-15,California Chamber of Commerce,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,7/15/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-08-03,California Cable & Telecommunications Association,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,8/3/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-08-10,California Beer & Beverage Distributors ,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,8/10/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-10-28,BP,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/28/2016 12:00:00 AM,Charitable
"Burke, Autumn",8000,2016-04-11,Boehringer Ingelheim,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2015 Leadership Symposium & Policy Institute Scholarship Fund,4/11/2016 12:00:00 AM,Charitable
"Burke, Autumn",8000,2016-07-26,Biogen,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,7/26/2016 12:00:00 AM,Charitable
"Burke, Autumn",5000,2016-06-14,Barona Band of Mission Indians,Lakeside,CA,Lennox School District,Lennox,CA,Payment to be used to fund the purchase of 10 Apple IPADS for Lennox Schools,6/14/2016 12:00:00 AM,Charitable
"Burke, Autumn",15000,2016-10-27,Barona Band of Mission Indians,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/27/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-11-03,AT&T,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,11/3/2016 12:00:00 AM,Charitable
"Burke, Autumn",5000,2016-09-12,AT&T,Sacramento,CA,101 Enterprises Foundation,Los Angeles,CA,This donation will be used for charitable purposes relating to the Assembly 62nd District Back to School Wellness and Health Fair,9/12/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-10-12,Association of California School Administrators,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/12/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-10-28,Associated General Contractors,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/28/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-09-20,Anthem Inc.,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,9/20/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-06-01,Anheuser Busch,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2015 Leadership Symposium & Policy Institute Scholarship Fund,6/1/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-06-06,American Beverage Association,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,6/6/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-10-27,Altria,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,10/27/2016 12:00:00 AM,Charitable
"Burke, Autumn",25000,2016-11-02,All-Pro Bail Bonds,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,11/2/2016 12:00:00 AM,Charitable
"Burke, Autumn",12500,2016-11-15,Abbott Laboratories,Sacramento,CA,California Legislative Black Caucus Policy Institute,Sacramento,CA,2016 Leadership Symposium & Policy Institute Scholarship Fund,11/15/2016 12:00:00 AM,Charitable
"Chau, Edwin",5000,2016-08-29,Barona Band of Mission Indians,Lakeside,CA,Oak Avenue Intermediate School,Temple City,CA,"Education grant to purchase books, computers, audio/visual equipment and more",8/29/2016 12:00:00 AM,Legislative
"Chu, Kasen",5000,2016-08-27,Coca Cola,Brandon,FL,The Asian and Pacific Islander Legislative Caucus Foundation,Sacramento,CA,2016 API Heritage Month Gala,8/27/2016 12:00:00 AM,Charitable
"Cooley, Ken",5000,2016-08-15,Barona Band of Mission Indians,Lakeside,CA,Rio Americano High School,Sacramento,CA,Barona Education Grant Award,8/15/2016 12:00:00 AM,Governmental
"Cooley, Ken",1000,2016-11-22,AT&T Public Affairs Office,Sacramento,CA,Capital City K9,Sacramento,CA,The AT&T Investing in California Awards provide resources and recognition to local organizations that are improving lives in their communities,11/22/2016 12:00:00 AM,Charitable
"Cooley, Ken",1000,2016-11-22,AT&T Public Affairs Office,Sacramento,CA,San Juan Education Foundation,Carmichael,CA,The AT&T Investing in California Awards provide resources and recognition to local organizations that are improving lives in their communities,11/22/2016 12:00:00 AM,Charitable
"Cooley, Ken",1000,2016-11-22,AT&T Public Affairs Office,Sacramento,CA,Sacramento Regional Family Justice Center,Sacramento,CA,The AT&T Investing in California Awards provide resources and recognition to local organizations that are improving lives in their communities,11/22/2016 12:00:00 AM,Charitable
"Cooley, Ken",1000,2016-11-22,AT&T Public Affairs Office,Sacramento,CA,Sacramento County Sheriff's Community Impact Program (SCIP),Sacramento,CA,The AT&T Investing in California Awards provide resources and recognition to local organizations that are improving lives in their communities,11/22/2016 12:00:00 AM,Charitable
"Cooley, Ken",1000,2016-11-22,AT&T Public Affairs Office,Sacramento,CA,A Community for Peace,Citrus Heights,CA,The AT&T Investing in California Awards provide resources and recognition to local organizations that are improving lives in their communities,11/22/2016 12:00:00 AM,Charitable
"Cooper, Jim",38500,2016-08-04,VSP Vision Care,Rancho Cordova,CA,Assemblymember Cooper's Back to School Health Fair,Elk Grove,CA,To provide needed health and other services as well as school supplies to those in need.,8/4/2016 12:00:00 AM,Legislative
"Cooper, Jim",5000,2016-10-28,Phillips 66,Washington,DC,Economic Growth Institute,Sacramento,CA,To provide funding to purchase turkeys to give to families in need at Thanksgiving Healthy Family and Turkey Drive,10/28/2016 12:00:00 AM,Charitable
"Cooper, Jim",6000,2016-08-19,PG&E,Sacramento,CA,Economic Growth Institute,Sacramento,CA,To provide needed health and other services as well as school supplies to those in need.,8/19/2016 12:00:00 AM,Charitable
"Cooper, Jim",2000,2016-10-11,Chevron,Sacramento,CA,Economic Growth Institute,Sacramento,CA,To provide funding to purchase backpacks and school supplies for more than 2000 children in need,10/11/2016 12:00:00 AM,Charitable
"Cooper, Jim",5000,2016-10-24,Chevron,Sacramento,CA,Economic Growth Institute,Sacramento,CA,To provide funding to purchase turkeys to give to families in need at Thanksgiving Healthy Family and Turkey Drive,10/24/2016 12:00:00 AM,Charitable
"Cooper, Jim",5000,2016-03-03,Anthem Inc.,Cincinnati,OH,Asian Pacific Islander Capitol Association,Sacramento,CA,To provide funding to purchase turkeys to give to families in need at the Thanksgiving Healthy Family and Turkey Drive,3/3/2016 12:00:00 AM,Charitable
"Dahle, Brian",5000,2016-11-02,Pacific Gas and Electric Company,Sacramento,CA,"Sierra Fund (Attn:  Elizabeth Martin, CEO)",Nevada City,NV,The donation was made for purposes related to the Resources Policy Education Project,11/2/2016 12:00:00 AM,Charitable
"Dodd, William",40000,2016-02-16,Syar Foundation,Napa,CA,The Leaven,Fairfield,CA,"Support opening of a Leaven center in Napa that brings after-school mentoring and tutoring programs by partnering with local government, schools and others",2/16/2016 12:00:00 AM,Charitable
"Dodd, William",25000,2016-03-10,Peter A. & Vernice H. Gasser Foundation,Napa,CA,The Leaven,Fairfield,CA,"Support opening of a Leaven center in Napa that brings after-school mentoring and tutoring programs by partnering with local government, schools and others",3/10/2016 12:00:00 AM,Charitable
"Daly, Tom",5000,2016-06-01,Barona Band of Mission Indians,Lakeside,CA,Ponderosa Elementary School,Anaheim,CA,For public school's purchase of educational materials,6/1/2016 12:00:00 AM,Governmental
"Gaines, Beth",5000,2016-07-26,Barona Band of Mission Indians,Lakeside,CA,Spring View Middle School,Rocklin,CA,Provide the school with monetary donation to build strong educational opportunities for the children of California,7/26/2016 12:00:00 AM,Charitable
"Eggman, Susan",1000,2016-03-16,"TR Land Company, LLC (Owner Anthony Barkett)",Stockton,CA,Community Foundation of San Joaquin,Stockton,CA,Contribution to the coalition for creation of CSU Stockton,3/16/2016 12:00:00 AM,Governmental
"Eggman, Susan",5000,2016-03-28,The Alex and Faye Spanos Family Trust (contact:  Natalie Orfanos),Stockton,CA,Community Foundation of San Joaquin,Stockton,CA,Contribution to the coalition for creation of CSU Stockton,3/28/2016 12:00:00 AM,Governmental
"Eggman, Susan",5000,2016-11-02,Pacific Gas & Electric Company,Sacramento,CA,"San Joaquin Pride Center, Inc.",Stockton,CA,For Charitable purposes relating to the San Joaquin Pride Center,11/2/2016 12:00:00 AM,Charitable
"Eggman, Susan",1000,2016-03-16,Nipote Wine Imports LLC (Owner Anthony Barkett),Stockton,CA,Community Foundation of San Joaquin,Stockton,CA,Contribution to the coalition for creation of CSU Stockton,3/16/2016 12:00:00 AM,Governmental
"Eggman, Susan",20000,2016-09-29,Eggman for Assembly 2016,Sacramento,CA,Community Foundation of San Joaquin,Stockton,CA,Contribution to the coalition for creation of CSU Stockton,9/29/2016 12:00:00 AM,Governmental
"Eggman, Susan",3000,2016-03-16,Atlas Properties Inc. (Owner Anthony Barkett),Stockton,CA,Community Foundation of San Joaquin,Stockton,CA,Contribution to the coalition for creation of CSU Stockton,3/16/2016 12:00:00 AM,Governmental
"Eggman, Susan",2500,2016-12-01,AT&T,Fresno,CA,Puentes Community Garden,Stockton,CA,Donation to organization/community garden which is intended to increase access to healthy food and physical activity in disadvantaged neighborhoods,12/1/2016 12:00:00 AM,Charitable
"Eggman, Susan",2500,2016-12-01,AT&T,Fresno,CA,Family Resource and Referral Center,Stockton,CA,Donation to organization that promotes community awareness about the needs of children and families,12/1/2016 12:00:00 AM,Charitable
"Gonzalez, Lorena",10000,2016-07-18,Viejas Band of Kumeyaay Indians,Alpine,CA,Three Wise Men Veterans Foundation,San Diego,CA,Helped support ongoing service for the veteran community,7/18/2016 12:00:00 AM,Charitable
"Gonzalez, Lorena",5000,2016-07-22,San Diego Gas & Electric (SDG&E),San Diego,CA,Three Wise Men Veterans Foundation,San Diego,CA,Helped support ongoing service for the veteran community,7/22/2016 12:00:00 AM,Charitable
"Gonzalez, Lorena",5000,2016-09-29,San Diego Gas & Electric (SDG&E),San Diego,CA,The Jacobs and Cushman San Diego Food Bank,San Diego,CA,"Operation Gobble 2016-4th Annual Thanksgiving Turkey Distribution & Health Resource Fair Series - Helps assist and uplift the most in-need families in the 80th Assembly District through providing holiday turkeys, fresh produce, and access to health resour",9/29/2016 12:00:00 AM,Charitable
"Gonzalez, Lorena",10000,2016-08-18,Pharmaceutical Research and Manufactures of America,Washington,DC,Three Wise Men Veterans Foundation,San Diego,CA,Helped support ongoing service for the veteran community,8/18/2016 12:00:00 AM,Charitable
"Gonzalez, Lorena",5000,2016-11-17,Chevron Corporation,Sacramento,CA,Three Wise Men Veterans Foundation,San Diego,CA,Helped support ongoing service for the veteran community,11/17/2016 12:00:00 AM,Charitable
"Gonzalez, Lorena",5000,2016-03-28,Barona Band of Mission Indians,Lakeside,CA,Joyner Micro Society Magnet Elementary School,San Diego,CA,Grant to assist in the redevelopment of the school's garden,3/28/2016 12:00:00 AM,Charitable
"Gonzalez, Lorena",5000,2016-06-28,Barona Band of Mission Indians,Lakeside,CA,Three Wise Men Veterans Foundation,San Diego,CA,Helped support ongoing service for the veteran community,6/28/2016 12:00:00 AM,Charitable
"Gonzalez, Lorena",5000,2016-11-07,AT&T,San Diego,CA,The Jacobs and Cushman San Diego Food Bank,San Diego,CA,"Operation Gobble 2016-4th Annual Thanksgiving Turkey Distribution & Health Resource Fair Series - Helps assist and uplift the most in-need families in the 80th Assembly District through providing holiday turkeys, fresh produce, access to health resources ",11/7/2016 12:00:00 AM,Charitable
"Garcia, Christina",5000,2016-10-14,Verizon,Sacramento,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating in government,10/14/2016 12:00:00 AM,Charitable
"Garcia, Christina",2500,2016-06-24,Verizon,San Francisco,CA,Community Family Guidance Center,Cerritos,CA,Activities to encourage young people to learn about and participate in government,6/24/2016 12:00:00 AM,Charitable
"Garcia, Christina",10000,2016-05-24,Target Corporation,Minneapolis,MN,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system,5/24/2016 12:00:00 AM,Legislative
"Garcia, Christina",1500,2016-02-01,Sunkist Political Action Committee,Sherman Oaks,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate Women engaging in the political system and participating  in government,2/1/2016 12:00:00 AM,Legislative
"Garcia, Christina",5000,2016-06-13,State Building and Construction Trades Council of CA,Sacramento,CA,Community Family Guidance Center,Cerritos,CA,Activities to encourage young people to learn about and participate in government,6/13/2016 12:00:00 AM,Charitable
"Garcia, Christina",720,2016-06-02,Starbucks Coffee Company,San Francisco,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating in government,6/2/2016 12:00:00 AM,Legislative
"Garcia, Christina",406,2016-09-08,Southern California Piping Training,Los Angeles,CA,Downey High School,Downey,CA,Downey HS girls varsity basketball team to see professional team,9/8/2016 12:00:00 AM,Charitable
"Garcia, Christina",406,2016-06-07,Southern California Piping Training,Los Angeles,CA,El Rancho High School,Pico Rivera,CA,El Rancho HS girls varsity basketball team to see professional team,6/7/2016 12:00:00 AM,Charitable
"Garcia, Christina",3000,2016-02-16,SEIU United Healthcare Workers West Political Action Committee,Sacramento,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate Women engaging in the political system and participating  in government,2/16/2016 12:00:00 AM,Legislative
"Garcia, Christina",2500,2016-07-20,SEIU - Local 2015,Los Angeles,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating in government,7/20/2016 12:00:00 AM,Legislative
"Garcia, Christina",1000,2016-06-13,"Political Solution, LLC",Sacramento,CA,Community Family Guidance Center,Cerritos,CA,Activities to encourage young people to learn about and participate in government,6/13/2016 12:00:00 AM,Charitable
"Garcia, Christina",1000,2016-06-29,Political Action for Classified Employees of California School Employees Small Contributor Committee #761128,San Francisco,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating  in government,6/29/2016 12:00:00 AM,Legislative
"Garcia, Christina",2500,2016-02-29,Political Action for Classified Employees of CA School Employees Small Contributor Committee,Sacramento,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate Women engaging in the political system and participating  in government,2/29/2016 12:00:00 AM,Legislative
"Garcia, Christina",2500,2016-10-06,PhRMA,Washington,DC,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating in government,10/6/2016 12:00:00 AM,Charitable
"Garcia, Christina",2500,2016-06-24,PG&E,San Francisco,CA,Community Family Guidance Center,Cerritos,CA,Activities to encourage young people to learn about and participate in government,6/24/2016 12:00:00 AM,Charitable
"Garcia, Christina",2500,2016-07-11,Pacific Gas and Electric Company,Sacramento,CA,Community Family Guidance Center,Cerritos,CA,Will be used to support the Young Legislator Program,7/11/2016 12:00:00 AM,Charitable
"Garcia, Christina",1000,2016-06-29,Pacific Gas and Electric Company,San Francisco,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating  in government,6/29/2016 12:00:00 AM,Legislative
"Garcia, Christina",5000,2016-06-29,Pacific Gas and Electric Company,San Francisco,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating  in government,6/29/2016 12:00:00 AM,Legislative
"Garcia, Christina",5000,2016-11-14,Pacific Gas and Electric Company,San Francisco,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating in government,11/14/2016 12:00:00 AM,Charitable
"Garcia, Christina",10000,2016-11-14,Pacific Gas and Electric Company,San Francisco,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating in government,11/14/2016 12:00:00 AM,Charitable
"Garcia, Christina",1000,2016-03-22,"Oportun, Inc.",Redwood City,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system,3/22/2016 12:00:00 AM,Legislative
"Garcia, Christina",4500,2016-03-16,"Intuit, Inc.",San Diego,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system,3/16/2016 12:00:00 AM,Legislative
"Garcia, Christina",2500,2016-06-24,IBEW Local 11,Pasadena,CA,Community Family Guidance Center,Cerritos,CA,Activities to encourage young people to learn about and participate in government,6/24/2016 12:00:00 AM,Charitable
"Garcia, Christina",5000,2016-09-01,Hewlett Packard Enterprise Co.,Washington,DC,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating in government,9/1/2016 12:00:00 AM,Charitable
"Garcia, Christina",5000,2016-05-06,Frontier Comm.,Norwalk,CT,Community Family Guidance Center,Cerritos,CA,To provide resources for the Young Legislators Program,5/6/2016 12:00:00 AM,Charitable
"Garcia, Christina",10000,2016-09-19,Edison International,Rosemead,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system and participating in government,9/19/2016 12:00:00 AM,Charitable
"Garcia, Christina",5000,2016-04-18,DentaQuest,Boston,MA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system,4/18/2016 12:00:00 AM,Legislative
"Garcia, Christina",2500,2016-05-06,Dart Container,Irvine,CA,Community Family Guidance Center,Cerritos,CA,To provide resources for the Young Legislators Program,5/6/2016 12:00:00 AM,Charitable
"Garcia, Christina",2500,2016-03-29,Dart Container,Irvine,CA,Community Family Guidance Center,Cerritos,CA,To provide resources for the Young Legislators Program,3/29/2016 12:00:00 AM,Charitable
"Garcia, Christina",1500,2016-03-29,Consumer Attorneys Public Interest Foundation,Sacramento,CA,Women in California Leadership,Sacramento,CA,Activities to encourage and facilitate women engaging in the political system,3/29/2016 12:00:00 AM,Legislative
